Country,Region/State,Zip/Postal Code,Weight (and above),Shipping Price
THA,*,17110,40.01,240
THA,*,17120,0,50
THA,*,17120,2.51,70
THA,*,17120,5.01,110
THA,*,17120,10.01,150
THA,*,17120,20.01,190
THA,*,17120,30.01,210
THA,*,17120,40.01,240
THA,*,17130,0,75
THA,*,17130,2.51,95
THA,*,17130,5.01,145
THA,*,17130,10.01,185
THA,*,17130,20.01,240
THA,*,17130,30.01,260
THA,*,17130,40.01,290
THA,*,17140,0,50
THA,*,17140,2.51,70
THA,*,17140,5.01,110
THA,*,17140,10.01,150
THA,*,17140,20.01,190
THA,*,17140,30.01,210
THA,*,17140,40.01,240
THA,*,17150,0,50
THA,*,17150,2.51,70
THA,*,17150,5.01,110
THA,*,17150,10.01,150
THA,*,17150,20.01,190
THA,*,17150,30.01,210
THA,*,17150,40.01,240
THA,*,17160,0,50
THA,*,17160,2.51,70
THA,*,17160,5.01,110
THA,*,17160,10.01,150
THA,*,17160,20.01,190
THA,*,17160,30.01,210
THA,*,17160,40.01,240
THA,*,17170,0,75
THA,*,17170,2.51,95
THA,*,17170,5.01,145
THA,*,17170,10.01,185
THA,*,17170,20.01,240
THA,*,17170,30.01,260
THA,*,17170,40.01,290
THA,*,18000,0,60
THA,*,18000,2.51,80
THA,*,18000,5.01,120
THA,*,18000,10.01,170
THA,*,18000,20.01,280
THA,*,18000,30.01,340
THA,*,18000,40.01,400
THA,*,18110,0,60
THA,*,18110,2.51,80
THA,*,18110,5.01,120
THA,*,18110,10.01,170
THA,*,18110,20.01,280
THA,*,18110,30.01,340
THA,*,18110,40.01,400
THA,*,18120,0,85
THA,*,18120,2.51,105
THA,*,18120,5.01,155
THA,*,18120,10.01,205
THA,*,18120,20.01,330
THA,*,18120,30.01,390
THA,*,18120,40.01,450
THA,*,18130,0,60
THA,*,18130,2.51,80
THA,*,18130,5.01,120
THA,*,18130,10.01,170
THA,*,18130,20.01,280
THA,*,18130,30.01,340
THA,*,18130,40.01,400
THA,*,18140,0,60
THA,*,18140,2.51,80
THA,*,18140,5.01,120
THA,*,18140,10.01,170
THA,*,18140,20.01,280
THA,*,18140,30.01,340
THA,*,18140,40.01,400
THA,*,18150,0,60
THA,*,18150,2.51,80
THA,*,18150,5.01,120
THA,*,18150,10.01,170
THA,*,18150,20.01,280
THA,*,18150,30.01,340
THA,*,18150,40.01,400
THA,*,18160,0,60
THA,*,18160,2.51,80
THA,*,18160,5.01,120
THA,*,18160,10.01,170
THA,*,18160,20.01,280
THA,*,18160,30.01,340
THA,*,18160,40.01,400
THA,*,18170,0,60
THA,*,18170,2.51,80
THA,*,18170,5.01,120
THA,*,18170,10.01,170
THA,*,18170,20.01,280
THA,*,18170,30.01,340
THA,*,18170,40.01,400
THA,*,18180,0,85
THA,*,18180,2.51,105
THA,*,18180,5.01,155
THA,*,18180,10.01,205
THA,*,18180,20.01,330
THA,*,18180,30.01,390
THA,*,18180,40.01,450
THA,*,18190,0,85
THA,*,18190,2.51,105
THA,*,18190,5.01,155
THA,*,18190,10.01,205
THA,*,18190,20.01,330
THA,*,18190,30.01,390
THA,*,18190,40.01,450
THA,*,18210,0,60
THA,*,18210,2.51,80
THA,*,18210,5.01,120
THA,*,18210,10.01,170
THA,*,18210,20.01,280
THA,*,18210,30.01,340
THA,*,18210,40.01,400
THA,*,18220,0,85
THA,*,18220,2.51,105
THA,*,18220,5.01,155
THA,*,18220,10.01,205
THA,*,18220,20.01,330
THA,*,18220,30.01,390
THA,*,18220,40.01,450
THA,*,18230,0,60
THA,*,18230,2.51,80
THA,*,18230,5.01,120
THA,*,18230,10.01,170
THA,*,18230,20.01,280
THA,*,18230,30.01,340
THA,*,18230,40.01,400
THA,*,18240,0,85
THA,*,18240,2.51,105
THA,*,18240,5.01,155
THA,*,18240,10.01,205
THA,*,18240,20.01,330
THA,*,18240,30.01,390
THA,*,18240,40.01,450
THA,*,18250,0,75
THA,*,18250,2.51,95
THA,*,18250,5.01,145
THA,*,18250,10.01,185
THA,*,18250,20.01,240
THA,*,18250,30.01,260
THA,*,18250,40.01,290
THA,*,18260,0,85
THA,*,18260,2.51,105
THA,*,18260,5.01,155
THA,*,18260,10.01,205
THA,*,18260,20.01,330
THA,*,18260,30.01,390
THA,*,18260,40.01,450
THA,*,20000,0,50
THA,*,20000,2.51,70
THA,*,20000,5.01,110
THA,*,20000,10.01,150
THA,*,20000,20.01,190
THA,*,20000,30.01,210
THA,*,20000,40.01,240
THA,*,20110,0,75
THA,*,20110,2.51,95
THA,*,20110,5.01,145
THA,*,20110,10.01,185
THA,*,20110,20.01,240
THA,*,20110,30.01,260
THA,*,20110,40.01,290
THA,*,20120,0,75
THA,*,20120,2.51,95
THA,*,20120,5.01,145
THA,*,20120,10.01,185
THA,*,20120,20.01,240
THA,*,20120,30.01,260
THA,*,20120,40.01,290
THA,*,20130,0,50
THA,*,20130,2.51,70
THA,*,20130,5.01,110
THA,*,20130,10.01,150
THA,*,20130,20.01,190
THA,*,20130,30.01,210
THA,*,20130,40.01,240
THA,*,20131,0,50
THA,*,20131,2.51,70
THA,*,20131,5.01,110
THA,*,20131,10.01,150
THA,*,20131,20.01,190
THA,*,20131,30.01,210
THA,*,20131,40.01,240
THA,*,20140,0,75
THA,*,20140,2.51,95
THA,*,20140,5.01,145
THA,*,20140,10.01,185
THA,*,20140,20.01,240
THA,*,20140,30.01,260
THA,*,20140,40.01,290
THA,*,20150,0,75
THA,*,20150,2.51,95
THA,*,20150,5.01,145
THA,*,20150,10.01,185
THA,*,20150,20.01,240
THA,*,20150,30.01,260
THA,*,20150,40.01,290
THA,*,20160,0,50
THA,*,20160,2.51,70
THA,*,20160,5.01,110
THA,*,20160,10.01,150
THA,*,20160,20.01,190
THA,*,20160,30.01,210
THA,*,20160,40.01,240
THA,*,20170,0,75
THA,*,20170,2.51,95
THA,*,20170,5.01,145
THA,*,20170,10.01,185
THA,*,20170,20.01,240
THA,*,20170,30.01,260
THA,*,20170,40.01,290
THA,*,20180,0,75
THA,*,20180,2.51,95
THA,*,20180,5.01,145
THA,*,20180,10.01,185
THA,*,20180,20.01,240
THA,*,20180,30.01,260
THA,*,20180,40.01,290
THA,*,20182,0,75
THA,*,20182,2.51,95
THA,*,20182,5.01,145
THA,*,20182,10.01,185
THA,*,20182,20.01,240
THA,*,20182,30.01,260
THA,*,20182,40.01,290
THA,*,20190,0,75
THA,*,20190,2.51,95
THA,*,20190,5.01,145
THA,*,20190,10.01,185
THA,*,20190,20.01,240
THA,*,20190,30.01,260
THA,*,20190,40.01,290
THA,*,20220,0,75
THA,*,20220,2.51,95
THA,*,20220,5.01,145
THA,*,20220,10.01,185
THA,*,20220,20.01,240
THA,*,20220,30.01,260
THA,*,20220,40.01,290
THA,*,20230,0,75
THA,*,20230,2.51,95
THA,*,20230,5.01,145
THA,*,20230,10.01,185
THA,*,20230,20.01,240
THA,*,20230,30.01,260
THA,*,20230,40.01,290
THA,*,20240,0,75
THA,*,20240,2.51,95
THA,*,20240,5.01,145
THA,*,20240,10.01,185
THA,*,20240,20.01,240
THA,*,20240,30.01,260
THA,*,20240,40.01,290
THA,*,20250,0,75
THA,*,20250,2.51,95
THA,*,20250,5.01,145
THA,*,20250,10.01,185
THA,*,20250,20.01,240
THA,*,20250,30.01,260
THA,*,20250,40.01,290
THA,*,20260,0,75
THA,*,20260,2.51,95
THA,*,20260,5.01,145
THA,*,20260,10.01,185
THA,*,20260,20.01,240
THA,*,20260,30.01,260
THA,*,20260,40.01,290
THA,*,20270,0,75
THA,*,20270,2.51,95
THA,*,20270,5.01,145
THA,*,20270,10.01,185
THA,*,20270,20.01,240
THA,*,20270,30.01,260
THA,*,20270,40.01,290
THA,*,21000,0,50
THA,*,21000,2.51,70
THA,*,21000,5.01,110
THA,*,21000,10.01,150
THA,*,21000,20.01,190
THA,*,21000,30.01,210
THA,*,21000,40.01,240
THA,*,21100,0,50
THA,*,21100,2.51,70
THA,*,21100,5.01,110
THA,*,21100,10.01,150
THA,*,21100,20.01,190
THA,*,21100,30.01,210
THA,*,21100,40.01,240
THA,*,21110,0,75
THA,*,21110,2.51,95
THA,*,21110,5.01,145
THA,*,21110,10.01,185
THA,*,21110,20.01,240
THA,*,21110,30.01,260
THA,*,21110,40.01,290
THA,*,21120,0,75
THA,*,21120,2.51,95
THA,*,21120,5.01,145
THA,*,21120,10.01,185
THA,*,21120,20.01,240
THA,*,21120,30.01,260
THA,*,21120,40.01,290
THA,*,21130,0,50
THA,*,21130,2.51,70
THA,*,21130,5.01,110
THA,*,21130,10.01,150
THA,*,21130,20.01,190
THA,*,21130,30.01,210
THA,*,21130,40.01,240
THA,*,21140,0,75
THA,*,21140,2.51,95
THA,*,21140,5.01,145
